Org Comment,ISBN,Title,Author,Edition,Copyright,Publisher
,9780393123807,"Worlds Together, Worlds Apart: A History of the World: From 1000 CE to the Present (Vol 2)",,,,
Course DNE,9780020415558,Voice and the actor,"Berry, Cicely",Reprint,1991,Wiley
DOC done,9780072993509,Second Thoughts: Critical Thinking for a Diverse Society,Wanda Teays,3rd,2006,McGraw
Book DNE,9780060576172,Death in Venice,Thomas Mann,,2005,Harper Collins
Only master file,9780060626556,Judaism: Revelation and Traditions,"Fishbane, Michael",1st,1987,HarperSanFrancisco
DNE Job cancelled,9780060628628,The Sermon on the Mount: The Key to Success in Lif,"Fox, Emmet",1989,,Harpers San Francisco
Master DOC and DOC done,9780060630157,"Christianity: A Way of Salvation, Religious","Frankiel, Sandra S.",1st,1985,HarperSanFrancisco
DOC done,9780060934996,Promise Ahead,Duane Elgin,1st,2001,HarperCollins Publishers Inc.
"DOC done (no EM, FM)",9780070395091,Introduction to Political Economy,"Spindler, Charles",2nd,1998,McGraw-Hill
DOC done,9780071345446,Essentials of Writing Biomedical Research Papers,Mimi Zeiger,2nd,2000,McGraw-Hill
PDF done,9780071435093,Primer of Biostatistics,"Glantz, Stanton",6th,2006,McGraw-Hill
Master PDF,9780071441568,Principles of Digital Audio,"Pohlmann, Ken",5th,2005,McGraw-Hill/TAB Electronics
DOC done,9780072401899,The logic book,"bergmann, Merrie",4th,2006,McGraw-Hill
Only up to p. 198,9780072817188,Sociological Theory,Ritzer,6th,2004,McGraw
Master PDF,9780072857122,Process Analysis and Improvement: Tools,SEPPANEN,1st,2004,McGraw-Hill/Irwin
DOC and TXT incl.,9780072863123,BIOLOGICAL ANTHROPOLOGY,PARK,4,2005,MCGRAW
DOC done,9780072864717,Applications in Basic Marketing: Clippings From,"Jr., E. Jerome McCarthy William D. Perreault",,2005,McGraw-Hill/Irwin
Book already there,9780072873955,International business: competing in the global marketplace,Charles W. L. Hill,5,2005,McGraw-Hill/Irwin
No course listed,9780072935899,Essentials of Marketing,"Perreaukt, JR and McCarthy",10,,McGraw Hill
Book already there,9780072977059,"Courts, Judges, and Politics","Murphy, Pritchett, Epstein, Knight",6,2005,McGraw-Hill Humanities/Social Sciences/Languages
DOC & PDF done,9780072994421,"Business, Government and Society: A Managerial","Steiner, George A.",11th,2005,McGraw-Hill/Irwin
PDF done,9780073127798,Statistics for Engineers and Scientists,William Navidi,2,2007,McGraw Hill
No course listed,9780073195681,Traditions and Encounters,"Bentley, Jerry",3rd,2005,McGraw-Hill Companies
"Master PDF, DOC, TXT",9780073397207,Taking Sides: Clashing Views on World Politics,John T. Rourke,13,2007,
"DOC, PDF done",9780073397283,Annual Editions: Global Issues 07/08,Robert M Jackson,23,2007,McGraw-Hill/Dushkin
Course DNE,9780073403892,"Public Administration: Understanding Management,","Rosenbloom, David H.",7th,2008,McGraw-Hill Humanities
Course done,9780073405032,The Ethics of Management,"Hosmer, La Rue Tone",6th,2007,McGraw-Hill/Irwin
"DOC, PDF done",9780073511542,Management Information Systems,"O'Brien, James A.",8th,2006,Mcgraw-Hill College
"Master TXT, PDF. DOC done",9780073514147,Creative Spirit: An Introduction to Theatre,"Arnold, Stephanie",4,2007,McGraw-Hill
Master DOC & PDF,9780073527208,Taking Sides: Clashing Views in Business Ethics and Society,newton & ford,9th,2005,McGraw-Hill/Dushkin
Book already there,9780345348104,Killer Angels,"Shaara, Michael",Paper,1987,Ballantine
DOC done,9780123865885,Therapist Guide to Clinical Intervention,"Johnson, Sharon",2nd,2003,Academic Press
"Same ISBN, but books do not match in each course listed below",9780130176103,Organizational Behavior: An Experiential Approach,OSLAND,7,2000,Prentice Hall
DOC done,9780130271631,Theories of Counseling and Psychotherapy: A Case Approach,"Murdock, Nancy L.",,2003,Prentice Hall
Master PDF,9780130309570,"Natural hazards: earth's processes as hazards, disasters, and catastrophes",Keller,1st,2006,Pearson
DOC done,9780130494702,Counseling: A Comprehensive Profession,Samuel Gladding,5th,,
DOC done,9780130918345,Contemporary Asian American Experience,Fong,2,2002,Pearson
Zipped PDF (master),9780130939890,Behavior Management: Principles and Practices,"Wheeler, John J.",,2004,Prentice Hall
Full DOC some mp3s,9780130986627,Assessing Infants and Preschoolers w/special needs,"Mary McLean, Mark Wolery, Donald B. Bailey",3rd,2003,Prentice Hall
Course DNE,9780131113404,Young Children With Special Needs,"Stephen R. Hooper, Warren Umansky",4th,2003,Prentice Hall
DOC done,9780131180086,A Guide to Ethical Conduct for the Helping Professions,Samuel Gladding,,2005,Pearson Prentice Hall
DOC done,9780131197954,"Families, professionals, and exceptionality: positive outcomes through partnerships and trust",Turnbull,5th,2006,Pearson
Master PDF,9780131405394,"Logic and computer design fundamentals, Volume 1",M. Morris Mano,3,,
Zipped master DOC,9780131434769,"Exploring Microsoft Office 2003, Volume 1",,,,
